id,name,waterwayName,video_url_1,video_url_2,video_url_3,video_url_4,video_url_5
cmlhcpxo0001jm2a36ckmzggi,Fort McLeod (BC),Peace River,https://www.youtube.com/watch?v=jvHw-oXV5kM,https://www.youtube.com/watch?v=Sbuw_iFuidQ,https://www.youtube.com/watch?v=d5zQmTSAEVg,,
cmlhcpxq9002nm2a3kn445t0w,Fort McLoughlin,Queen Charlotte Sound,https://www.youtube.com/watch?v=sRR-sDn9vbE,https://www.youtube.com/watch?v=JJv54gdhrd4,https://www.youtube.com/watch?v=an4R12V_G1E,,
cmlhcpxn10013m2a3zq358xxd,Fort McPherson,Mackenzie River,https://www.youtube.com/watch?v=2WoA6WGT8JI,https://www.youtube.com/watch?v=i2jexPzNZbE,https://www.youtube.com/watch?v=umT32nGc5pg,,
cmlhcpxmr000xm2a3xopobi8t,Fort Nez Percés (Fort Walla Walla),Columbia River,https://www.youtube.com/watch?v=jdYIY6pT9Qs,https://www.youtube.com/watch?v=aaV7_BQ3k2s,https://www.youtube.com/watch?v=jHhS24ENiQM,,
cmlhcpxl2000hm2a35zf7u98t,Fort Norman,Mackenzie River,https://www.youtube.com/watch?v=2WoA6WGT8JI,https://www.youtube.com/watch?v=i2jexPzNZbE,https://www.youtube.com/watch?v=umT32nGc5pg,,
cmlhcpxpb0025m2a3u22bcmrn,Fort Pelly,Assiniboine River,https://www.youtube.com/watch?v=fZ-LnRNggsM,https://www.youtube.com/watch?v=N90gFH3I1E0,https://www.youtube.com/watch?v=pvS2N-X9WWU,,
cmlhcpxoy001zm2a304m2lgbl,Fort Pembina,Red River,https://www.youtube.com/watch?v=t2xv32PwOTw,https://www.youtube.com/watch?v=D5sC5-zm4to,https://www.youtube.com/watch?v=5JRMcLqSBMg,,
cmlhcpxpf0027m2a3vq60ln3h,Fort Pitt,Saskatchewan River,https://www.youtube.com/watch?v=724EOMCRjhs,https://www.youtube.com/watch?v=1FipsvFkzuM,https://www.youtube.com/watch?v=GuKocrbyV8c,,
cmlhcpxpt002fm2a3f9j5lnfo,Fort Providence,Great Slave Lake,https://www.youtube.com/watch?v=KyYMaK6x14s,https://www.youtube.com/watch?v=9g9Yqa4cW4Q,https://www.youtube.com/watch?v=hK8PcL72mSc,,
cmlhcpxlh000pm2a37jv1ad25,Fort Qu'Appelle,Assiniboine River,https://www.youtube.com/watch?v=fZ-LnRNggsM,https://www.youtube.com/watch?v=N90gFH3I1E0,https://www.youtube.com/watch?v=pvS2N-X9WWU,,
cmlhcpxpp002dm2a3enfqyhkk,Fort Rae,Great Slave Lake,https://www.youtube.com/watch?v=KyYMaK6x14s,https://www.youtube.com/watch?v=9g9Yqa4cW4Q,https://www.youtube.com/watch?v=hK8PcL72mSc,,
